r_nrm, b_nrm, p_t_prior, pdf 0 weight, pdf 1 weight, pdf 2 weight, pdf 3 weight
0.394153, 0.153540, 0.923110, 255, 0, 0, 64
0.390386, 0.148869, 0.726130, 255, 0, 0, 64
0.386619, 0.144199, 0.486724, 255, 0, 0, 64
0.382852, 0.139529, 0.278008, 255, 0, 0, 64
0.407920, 0.150217, 1.000000, 255, 0, 0, 64
0.411645, 0.154921, 0.923110, 255, 0, 0, 64
0.415370, 0.159625, 0.726130, 255, 0, 0, 64
0.419095, 0.164329, 0.486724, 255, 0, 0, 64
0.422819, 0.169033, 0.278008, 255, 0, 0, 64
0.404195, 0.145514, 0.923110, 255, 0, 0, 64
0.400470, 0.140810, 0.726130, 255, 0, 0, 64
0.396746, 0.136106, 0.486724, 255, 0, 0, 64
0.393021, 0.131402, 0.278008, 255, 0, 0, 64
0.417920, 0.142372, 1.000000, 255, 0, 0, 64
0.421602, 0.147110, 0.923110, 255, 0, 0, 64
0.425284, 0.151847, 0.726130, 255, 0, 0, 64
0.428965, 0.156585, 0.486724, 255, 0, 0, 64
0.432647, 0.161322, 0.278008, 255, 0, 0, 64
0.414238, 0.137635, 0.923110, 255, 0, 0, 64
0.410556, 0.132897, 0.726130, 255, 0, 0, 64
0.406875, 0.128160, 0.486724, 255, 0, 0, 64
0.403193, 0.123422, 0.278008, 255, 0, 0, 64
0.427920, 0.134674, 1.000000, 255, 0, 0, 64
0.431558, 0.139446, 0.908583, 255, 0, 0, 64
0.435196, 0.144217, 0.681488, 255, 0, 0, 64
0.438834, 0.148988, 0.421969, 255, 0, 0, 64
0.442472, 0.153760, 0.215691, 255, 0, 0, 64
0.424282, 0.129903, 0.908583, 255, 0, 0, 64
0.420644, 0.125132, 0.681488, 255, 0, 0, 64
0.417006, 0.120360, 0.421969, 255, 0, 0, 64
0.413369, 0.115589, 0.215691, 255, 0, 0, 64
0.437920, 0.127124, 1.000000, 255, 0, 0, 64
0.441513, 0.131929, 0.830416, 255, 0, 0, 64
0.445106, 0.136734, 0.475535, 255, 0, 0, 64
0.448699, 0.141539, 0.187785, 255, 0, 0, 64
0.434327, 0.122318, 0.830416, 255, 0, 0, 64
0.430734, 0.117513, 0.475535, 255, 0, 0, 64
0.427141, 0.112708, 0.187785, 255, 0, 0, 64
0.447920, 0.119720, 1.000000, 255, 0, 0, 64
0.451467, 0.124559, 0.711928, 255, 0, 0, 64
0.455014, 0.129398, 0.256889, 255, 0, 0, 64
0.444373, 0.114881, 0.711928, 255, 0, 0, 64
0.440826, 0.110042, 0.256889, 255, 0, 0, 64
